,Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Genre,Language,Runtime,Color Palette,GenreNames,LanguageName,Palette Cluster,PCA1,PCA2
24,2024-06-19,Inside Out 2,2024.0,https://boxd.it/6HH8LP,2.0,,"roomies, chi, in theaters",2024-06-18,"[16, 12, 35, 10751]",en,97,"[188, 194, 180, 121, 105, 123, 75, 31, 46]","['Animation', 'Adventure', 'Comedy', 'Family']",English,6,66.98923925008108,-17.016827156356545
25,2024-07-02,A Quiet Place,2018.0,https://boxd.it/6MWlZb,2.5,,"roomies, chi",2024-07-01,"[27, 18, 878]",en,91,"[69, 86, 79, 23, 32, 34, 8, 6, 11]","['Horror', 'Drama', 'Science Fiction']",English,4,-176.25000533701018,-42.001943674867725
26,2024-07-07,MaXXXine,2024.0,https://boxd.it/6P4wmN,4.5,,"roomies, chi, in theaters",2024-07-07,"[27, 53]",en,103,"[204, 154, 115, 77, 30, 10, 32, 9, 3]","['Horror', 'Thriller']",English,3,-87.9966271509171,32.968369294268605
27,2024-07-13,The Strangers,2008.0,https://boxd.it/6RIfCn,2.0,,"roomies, chi",2024-07-12,"[27, 53]",en,86,"[144, 90, 44, 51, 24, 7, 11, 3, 1]","['Horror', 'Thriller']",English,4,-172.44174911657888,29.971211418995452
28,2024-07-14,Shiva Baby,2020.0,https://boxd.it/6ScE83,4.0,,"roomies, chi",2024-07-13,"[35, 18]",en,78,"[208, 177, 149, 122, 105, 89, 38, 20, 42]","['Comedy', 'Drama']",English,6,29.79722267641148,7.652783993240533
29,2024-07-17,Longlegs,2024.0,https://boxd.it/6TAQ45,3.0,,"in theaters, roomies, chi",2024-07-16,"[80, 27, 53]",en,101,"[109, 78, 40, 52, 38, 30, 37, 20, 22]","['Crime', 'Horror', 'Thriller']",English,4,-157.2726504213073,17.609762788420085
30,2024-07-20,Spring Breakers,2012.0,https://boxd.it/6URS9T,3.5,,"chi, roomies",2024-07-19,"[18, 80]",en,94,"[223, 186, 168, 138, 66, 86, 31, 11, 21]","['Drama', 'Crime']",English,6,22.59471387976106,15.184130256486135
31,2024-07-24,Twisters,2024.0,https://boxd.it/6WMXrL,3.0,,"in theaters, roomies, chi",2024-07-23,"[28, 53]",en,123,"[168, 167, 162, 98, 98, 93, 43, 44, 42]","['Action', 'Thriller']",English,6,15.259345638556113,-25.705908611498653
32,2024-07-25,Love Lies Bleeding,2024.0,https://boxd.it/6XdLef,4.0,,"roomies, chi",2024-07-24,"[80, 10749, 53, 18]",en,104,"[120, 62, 49, 28, 3, 18, 8, 0, 13]","['Crime', 'Romance', 'Thriller', 'Drama']",English,4,-199.62214935186773,0.2633720123407528
33,2024-07-28,Bottoms,2023.0,https://boxd.it/6YCKal,4.5,Yes,"roomies, chi",2024-07-27,[35],en,91,"[245, 245, 245, 237, 239, 238, 129, 108, 104]",['Comedy'],English,2,318.27329326662556,-0.21916428375191543
34,2024-07-30,Five Nights at Freddy's,2023.0,https://boxd.it/6ZwD5F,2.0,,"roomies, chi",2024-07-29,"[27, 53]",en,110,"[79, 34, 47, 27, 1, 29, 22, 0, 24]","['Horror', 'Thriller']",English,4,-212.9674043801486,-12.915967577131507
35,2024-08-04,Your Name.,2016.0,https://boxd.it/71p9Ll,3.0,,chi,2024-08-03,"[16, 10749, 18]",ja,106,"[181, 211, 222, 42, 174, 227, 31, 95, 138]","['Animation', 'Romance', 'Drama']",Japanese,0,155.75422223941518,-159.10109853161018
36,2024-08-05,Kneecap,2024.0,https://boxd.it/723pPN,4.5,,"seb, in theaters, parents",2024-08-04,"[10402, 35, 18]",ga,105,"[212, 221, 53, 112, 110, 55, 30, 22, 19]","['Music', 'Comedy', 'Drama']",Irish,6,-8.531948527823715,61.273327926142535
37,2024-08-10,Smiling Friends,2020.0,https://boxd.it/73XG9P,5.0,,"chi, roomies",2024-08-09,"[35, 10749, 10770]",en,95,"[251, 251, 192, 132, 215, 240, 161, 151, 162]","['Comedy', 'Romance', 'TV Movie']",English,2,284.5135434414976,-35.185579272171054
38,2024-08-16,The Battle Wizard,1977.0,https://boxd.it/76U8ch,4.0,,"seb, james",2024-08-15,"[28, 14]",zh,77,"[104, 116, 146, 60, 27, 45, 6, 5, 15]","['Action', 'Fantasy']",Mandarin,3,-116.48586627822826,-48.03268576055225
