Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-17,Priscilla,2023,https://boxd.it/84LcKT,3,,"seb, alone</3",2024-12-16
2024-12-18,Over the Garden Wall,2014,https://boxd.it/85f45N,5,Yes,"seb, rachel",2024-12-17
2024-12-18,I Saw the TV Glow,2024,https://boxd.it/85iw4p,5,,"seb, alone</3",2024-12-18
2024-12-19,We're All Going to the World's Fair,2021,https://boxd.it/85JHc9,4.5,,"seb, alone</3",2024-12-18
2024-12-19,Antiporno,2016,https://boxd.it/85MOzF,,,"seb, alone</3",2024-12-18
2024-12-25,Titane,2021,https://boxd.it/89Emop,4.5,,"seb, alone</3",2024-12-24
2024-12-25,All of Us Strangers,2023,https://boxd.it/89IsDj,3,,"seb, parents",2024-12-24
2024-12-26,Poor Things,2023,https://boxd.it/8aEGFJ,2.5,,"seb, alone</3",2024-12-25
2024-12-28,The Worst Person in the World,2021,https://boxd.it/8bW9Ur,3,,"seb, alone</3",2024-12-27
2024-12-28,Dinner in America,2020,https://boxd.it/8cbRez,3.5,,"seb, alone</3",2024-12-27
2024-12-28,Monster,2023,https://boxd.it/8ci5DP,4.5,,"seb, parents",2024-12-27
2024-12-28,Paris Is Burning,1990,https://boxd.it/8cn3H1,5,,"seb, alone</3",2024-12-27
2024-12-29,Twilight,2008,https://boxd.it/8de5w1,5,,james,2024-12-28
2024-12-30,Climax,2018,https://boxd.it/8eiZvl,4,,"seb, alone</3",2024-12-29
2025-01-01,The Twilight Saga: New Moon,2009,https://boxd.it/8g0gIr,2.5,Yes,"seb, james",2024-12-31
2025-01-02,Cuckoo,2024,https://boxd.it/8h3leh,3.5,,"seb, alone</3",2025-01-01
2025-01-03,Oldboy,2003,https://boxd.it/8hSkNx,4,,"seb, alone</3",2025-01-02
2025-01-04,The Zone of Interest,2023,https://boxd.it/8j9XLN,,,"seb, parents",2025-01-03
2025-01-04,They Cloned Tyrone,2023,https://boxd.it/8jcVwn,,,"seb, alone</3",2025-01-04
2025-01-05,The Bling Ring,2013,https://boxd.it/8kbUUZ,2.5,,"seb, alone</3",2025-01-04
2025-01-06,Gummo,1997,https://boxd.it/8lmPQf,4.5,,"seb, alone</3",2025-01-05
2025-01-09,Raw,2016,https://boxd.it/8o62Wj,4,,"seb, alone</3",2025-01-09
2025-01-10,The Watermelon Woman,1996,https://boxd.it/8pa3pR,,,"seb, alone</3",2025-01-10
2025-01-10,The Twilight Saga: Eclipse,2010,https://boxd.it/8pabP9,2,Yes,"seb, james",2025-01-10
2025-01-12,Antichrist,2009,https://boxd.it/8rp2it,,,"seb, alone</3",2025-01-11
2025-01-13,Infinity Pool,2023,https://boxd.it/8rUpWN,3,,"seb, alone</3",2025-01-12
2025-01-13,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/8sv7VL,3,Yes,"seb, james",2025-01-12
2025-01-14,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/8tfCBz,3.5,Yes,"seb, james",2025-01-13
2025-01-14,Drop Dead Gorgeous,1999,https://boxd.it/8tkd0D,4,,"seb, alone</3",2025-01-13
2025-01-15,Bird,2024,https://boxd.it/8u22lX,4.5,,"seb, parents",2025-01-14
2025-01-15,Suspiria,1977,https://boxd.it/8u49ur,4.5,,"seb, alone</3",2025-01-14
2025-01-16,The Killing of a Sacred Deer,2017,https://boxd.it/8uEE7F,3.5,,"seb, alone</3",2025-01-15
2025-01-18,Babygirl,2024,https://boxd.it/8waKJ9,3,,"seb, in theaters, james, james's family",2025-01-17
2025-01-18,Crash,1996,https://boxd.it/8weFMv,4,,"seb, alone</3",2025-01-18
2025-01-18,Untapped Perfection,2024,https://boxd.it/8wfs0Z,5,,,2025-01-18
2025-01-22,Mulholland Drive,2001,https://boxd.it/8zfPBB,5,,"scropps, alone</3",2025-01-21
